Channel,Amplitude,mean,std
1,500,920.0,0.0
1,800,1512.0,0.0
1,1100,2120.0,0.0
1,1400,2736.0,0.0
1,1700,3232.0,0.0
1,2000,3608.0,0.0
1,2300,3896.0,0.0
1,2600,4088.0,0.0
1,2900,4088.0,0.0
1,3200,4088.0,0.0
1,3500,4088.0,0.0
2,500,912.0,0.0
2,800,1496.0,0.0
2,1100,2128.0,0.0
2,1400,2712.0,0.0
2,1700,3216.0,0.0
2,2000,3600.0,0.0
2,2300,3888.0,0.0
2,2600,4088.0,0.0
2,2900,4088.0,0.0
2,3200,4088.0,0.0
2,3500,4088.0,0.0
3,500,920.0,0.0
3,800,1512.0,0.0
3,1100,2168.0,0.0
3,1400,2768.0,0.0
3,1700,3280.0,0.0
3,2000,3664.0,0.0
3,2300,3952.0,0.0
3,2600,4088.0,0.0
3,2900,4088.0,0.0
3,3200,4088.0,0.0
3,3500,4088.0,0.0
4,500,936.0,0.0
4,800,1544.0,0.0
4,1100,2200.0,0.0
4,1400,2808.0,0.0
4,1700,3312.0,0.0
4,2000,3704.0,0.0
4,2300,3992.0,0.0
4,2600,4088.0,0.0
4,2900,4088.0,0.0
4,3200,4088.0,0.0
4,3500,4088.0,0.0
39,500,960.0,0.0
39,800,1544.0,0.0
39,1100,2176.0,0.0
39,1400,2768.0,0.0
39,1700,3280.0,0.0
39,2000,3672.0,0.0
39,2300,3960.0,0.0
39,2600,4088.0,0.0
39,2900,4088.0,0.0
39,3200,4088.0,0.0
39,3500,4088.0,0.0
40,500,944.0,0.0
40,800,1520.0,0.0
40,1100,2152.0,0.0
40,1400,2744.0,0.0
40,1700,3256.0,0.0
40,2000,3648.0,0.0
40,2300,3952.0,0.0
40,2600,4088.0,0.0
40,2900,4088.0,0.0
40,3200,4088.0,0.0
40,3500,4088.0,0.0
41,500,968.0,0.0
41,800,1568.0,0.0
41,1100,2208.0,0.0
41,1400,2808.0,0.0
41,1700,3328.0,0.0
41,2000,3736.0,0.0
41,2300,4032.0,0.0
41,2600,4088.0,0.0
41,2900,4088.0,0.0
41,3200,4088.0,0.0
41,3500,4088.0,0.0
42,500,928.0,0.0
42,800,1496.0,0.0
42,1100,2120.0,0.0
42,1400,2720.0,0.0
42,1700,3232.0,0.0
42,2000,3632.0,0.0
42,2300,3928.0,0.0
42,2600,4088.0,0.0
42,2900,4088.0,0.0
42,3200,4088.0,0.0
42,3500,4088.0,0.0
77,800,592.0,0.0
77,1100,784.0,0.0
77,1400,1008.0,0.0
77,1700,1200.0,0.0
77,2000,1384.0,0.0
77,2300,1536.0,0.0
77,2600,1648.0,0.0
77,2900,1752.0,0.0
77,3200,1840.0,0.0
77,3500,1920.0,0.0
78,800,568.0,0.0
78,1100,776.0,0.0
78,1400,1000.0,0.0
78,1700,1192.0,0.0
78,2000,1360.0,0.0
78,2300,1504.0,0.0
78,2600,1608.0,0.0
78,2900,1728.0,0.0
78,3200,1816.0,0.0
78,3500,1896.0,0.0
79,800,600.0,0.0
79,1100,808.0,0.0
79,1400,984.0,0.0
79,1700,1208.0,0.0
79,2000,1408.0,0.0
79,2300,1536.0,0.0
79,2600,1664.0,0.0
79,2900,1760.0,0.0
79,3200,1856.0,0.0
79,3500,1936.0,0.0
80,800,592.0,0.0
80,1100,808.0,0.0
80,1400,1000.0,0.0
80,1700,1192.0,0.0
80,2000,1392.0,0.0
80,2300,1536.0,0.0
80,2600,1656.0,0.0
80,2900,1768.0,0.0
80,3200,1856.0,0.0
80,3500,1944.0,0.0
