Channel,Amplitude,mean,std
1,300,349.0,0.0
1,600,760.0,0.0
1,900,936.0,0.0
1,1200,1048.0,0.0
1,1500,1136.0,0.0
1,1800,1152.0,0.0
1,2100,1312.0,0.0
1,2400,1440.0,0.0
1,2700,1512.0,0.0
1,3000,1584.0,0.0
1,3300,1640.0,0.0
1,3600,1680.0,0.0
2,300,337.0,0.0
2,600,752.0,0.0
2,900,928.0,0.0
2,1200,1056.0,0.0
2,1500,1120.0,0.0
2,1800,1136.0,0.0
2,2100,1320.0,0.0
2,2400,1416.0,0.0
2,2700,1512.0,0.0
2,3000,1568.0,0.0
2,3300,1624.0,0.0
2,3600,1672.0,0.0
3,300,429.0,0.0
3,600,816.0,0.0
3,900,984.0,0.0
3,1200,1104.0,0.0
3,1500,1208.0,0.0
3,1800,1168.0,0.0
3,2100,1344.0,0.0
3,2400,1456.0,0.0
3,2700,1544.0,0.0
3,3000,1608.0,0.0
3,3300,1664.0,0.0
3,3600,1712.0,0.0
4,300,355.0,0.0
4,600,752.0,0.0
4,900,928.0,0.0
4,1200,1040.0,0.0
4,1500,1128.0,0.0
4,1800,1176.0,0.0
4,2100,1344.0,0.0
4,2400,1464.0,0.0
4,2700,1544.0,0.0
4,3000,1608.0,0.0
4,3300,1664.0,0.0
4,3600,1712.0,0.0
77,600,202.0,0.0
77,900,512.0,0.0
77,1200,736.0,0.0
77,1500,944.0,0.0
77,1800,1144.0,0.0
77,2100,1304.0,0.0
77,2400,1440.0,0.0
77,2700,1536.0,0.0
77,3000,1632.0,0.0
77,3300,1720.0,0.0
77,3600,1792.0,0.0
79,600,263.0,0.0
79,900,568.0,0.0
79,1200,776.0,0.0
79,1500,1000.0,0.0
79,1800,1192.0,0.0
79,2100,1352.0,0.0
79,2400,1480.0,0.0
79,2700,1576.0,0.0
79,3000,1672.0,0.0
79,3300,1760.0,0.0
79,3600,1832.0,0.0
80,900,508.0,0.0
80,1200,704.0,0.0
80,1500,920.0,0.0
80,1800,1120.0,0.0
80,2100,1304.0,0.0
80,2400,1440.0,0.0
80,2700,1544.0,0.0
80,3000,1624.0,0.0
80,3300,1720.0,0.0
80,3600,1792.0,0.0
