Channel,Amplitude,mean,std
1,500,912.0,0.0
1,800,1488.0,0.0
1,1100,2136.0,0.0
1,1400,2720.0,0.0
1,1700,3224.0,0.0
1,2000,3608.0,0.0
1,2300,3888.0,0.0
1,2600,4088.0,0.0
1,2900,4088.0,0.0
1,3200,4088.0,0.0
1,3500,4088.0,0.0
39,500,960.0,0.0
39,800,1536.0,0.0
39,1100,2168.0,0.0
39,1400,2760.0,0.0
39,1700,3272.0,0.0
39,2000,3664.0,0.0
39,2300,3952.0,0.0
39,2600,4088.0,0.0
39,2900,4088.0,0.0
39,3200,4088.0,0.0
39,3500,4088.0,0.0
77,800,592.0,0.0
77,1100,792.0,0.0
77,1400,1000.0,0.0
77,1700,1200.0,0.0
77,2000,1376.0,0.0
77,2300,1520.0,0.0
77,2600,1648.0,0.0
77,2900,1744.0,0.0
77,3200,1832.0,0.0
77,3500,1920.0,0.0
